original_selling_amount,day_of_year,how_far_in_advance,length_of_stay,no_of_adults,hotel_brand_code,customer_nationality,charge_option,hotel_chain_code,original_payment_method
64.38,189,1,1,1,843,98,2,585,29
303.48,205,32,1,2,572,44,1,273,19
183.63,259,2,2,2,776,56,2,359,29
373.67,192,11,2,2,829,18,2,506,4
1528.1,21,174,14,2,163,3,1,237,29
2836.89,179,61,3,6,147,40,1,13,29
244.32,212,15,4,2,290,86,1,400,19
154.88,158,93,2,2,427,56,2,548,29
71.4,238,6,1,1,827,44,2,3,29
287.06,199,11,2,2,879,91,2,579,29
168.29,143,57,1,2,876,91,2,535,29
39.58,209,1,1,2,251,40,2,525,19
349.2,212,14,4,2,700,86,1,385,29
768.38,204,25,4,2,138,86,1,51,19
52.1,193,57,1,2,863,86,1,327,19
505.56,14,207,2,4,93,54,1,234,29
27.4,248,4,1,2,427,40,2,548,19
335.35,143,74,3,2,243,82,1,273,29
190.92,222,38,3,2,623,56,1,478,29
93.34,196,1,1,2,328,37,2,123,29
875.64,260,12,6,2,50,95,2,614,29
133.45,190,6,1,2,447,44,2,96,19
38.04,246,8,1,2,123,40,2,529,29
140.32,191,4,2,2,403,91,2,260,16
318.25,177,55,2,2,759,44,1,359,29
182.64,262,5,1,2,508,44,2,69,16
202.52,205,5,2,2,759,51,2,359,29
742.43,211,10,3,2,815,99,2,79,5
12.14,190,6,1,1,709,56,2,87,29
117.87,164,31,1,3,745,86,2,561,27
69.03,199,3,1,2,12,92,2,267,29
121.5,220,50,5,1,602,95,1,75,19
20.99,223,1,1,2,558,56,2,522,29
180.02,227,7,1,2,889,44,1,51,5
23.92,209,2,1,2,724,92,2,310,29
339.51,212,38,3,2,753,44,1,273,16
104.98,260,12,1,2,50,86,2,614,19
448.55,173,28,5,2,602,99,1,75,29
514.2,219,48,7,1,869,8,2,24,29
115.38,321,303,2,2,266,98,1,618,19
104.77,189,16,2,2,50,86,2,614,19
129.35,159,37,1,4,445,86,1,173,29
98.55,187,9,1,6,158,82,2,178,29
1452.19,191,8,4,2,493,95,2,136,19
283.8,181,8,1,5,152,86,1,614,19
189.55,178,8,2,2,490,82,2,617,29
154.04,209,32,2,4,869,86,1,24,19
979.5,126,70,2,1,134,56,2,553,5
357.69,233,13,3,2,817,67,2,79,29
453.97,244,14,2,2,147,18,2,13,4
866.83,200,29,4,2,350,86,1,427,5
303.96,192,13,3,1,427,32,2,548,19
96.78,224,1,1,4,195,92,2,593,29
52.08,243,12,1,2,614,18,2,616,29
179.41,184,4,2,2,67,92,2,178,29
66.44,261,1,1,2,251,40,2,525,29
117.35,245,8,1,2,872,86,2,535,27
1037.84,209,20,2,2,749,95,2,397,29
67.28,187,1,1,2,124,37,2,182,29
63.6,247,1,1,2,513,75,2,359,19
67.02,173,13,1,4,427,82,2,548,26
50.58,143,125,1,1,94,44,2,466,29
363.34,202,10,2,3,62,86,2,268,19
284.42,161,102,2,3,697,91,1,27,19
88.14,194,1,1,2,513,18,2,359,4
575.29,250,17,6,2,410,95,2,386,4
67.12,224,1,1,2,677,92,2,422,29
350.26,186,7,2,2,753,99,2,273,29
132.28,240,5,1,4,470,86,2,104,29
479.66,143,54,4,1,741,102,1,168,29
136.54,197,1,1,2,99,7,2,142,19
700.1,171,25,10,2,327,99,1,189,19
139.01,126,60,3,1,450,86,1,217,29
110.56,242,6,1,2,427,42,2,548,29
386.09,179,6,2,2,138,92,2,51,29
501.95,188,13,5,2,741,56,1,168,29
99.0,5,232,1,2,889,90,2,51,29
370.27,206,2,1,2,572,70,2,273,29
246.4,30,180,7,5,505,2,2,285,19
536.9,193,10,4,4,756,91,2,52,19
124.68,199,5,1,5,308,37,1,565,29
73.04,168,42,4,2,703,56,2,45,5
423.39,164,47,4,2,320,86,2,548,27
978.05,163,65,5,2,572,86,2,273,19
221.16,196,26,4,2,227,82,2,492,29
72.22,238,0,1,2,804,99,2,614,29
77.45,183,59,1,1,562,99,2,614,29
251.31,178,16,1,1,526,27,2,222,19
103.53,220,14,1,2,137,3,2,61,22
620.64,141,84,2,2,707,43,1,140,5
575.35,204,16,3,2,859,86,2,548,29
82.77,157,116,1,2,335,44,1,176,16
65.67,229,32,1,1,872,37,1,535,29
196.2,118,94,3,2,310,86,2,106,19
89.82,211,1,1,2,490,82,2,617,19
105.91,266,4,1,1,513,40,2,359,19
57.62,140,69,1,1,871,44,2,16,26
420.05,220,18,2,2,375,74,2,92,19
182.18,214,2,1,2,136,37,2,519,29
179.23,135,67,2,1,51,82,1,200,29
167.79,258,3,2,2,572,56,2,273,5
408.44,16,194,3,2,188,37,1,319,29
384.85,235,14,3,1,427,56,2,548,29
363.55,232,31,1,1,572,92,1,273,29
108.38,228,2,2,2,227,95,2,492,29
964.66,128,84,3,4,652,81,2,427,29
32.15,240,1,1,2,24,40,2,195,26
182.74,150,77,2,2,356,44,1,124,19
314.51,232,2,1,2,716,97,2,611,19
85.59,251,10,1,1,259,37,2,439,29
317.62,163,48,3,2,188,37,1,319,29
695.2,123,126,2,2,536,44,2,110,16
212.09,217,2,1,2,131,99,2,79,29
302.4,196,52,2,2,741,91,2,168,29
215.99,170,22,2,2,188,86,2,319,29
637.13,225,34,3,2,578,99,2,10,19
592.65,204,55,2,2,590,16,1,330,29
326.76,181,52,6,2,455,99,2,454,29
19.29,188,11,2,2,502,40,2,518,29
199.25,163,25,1,2,889,86,2,51,29
117.5,132,67,2,2,124,44,1,182,16
166.48,230,8,1,2,680,92,2,105,19
209.06,234,16,2,2,745,18,2,561,26
475.4,168,39,2,2,572,86,2,273,19
249.76,198,7,3,2,286,91,2,176,29
111.87,223,3,1,2,753,99,2,273,5
232.29,262,7,3,1,871,14,2,16,29
52.29,205,11,1,1,469,44,2,536,26
157.39,183,19,4,2,427,49,2,548,19
34.62,256,1,1,2,107,82,2,549,19
111.33,197,3,3,2,427,40,2,548,19
570.54,341,235,5,2,638,90,2,289,5
164.03,22,161,1,4,325,3,2,462,29
919.12,33,200,2,4,248,37,1,422,29
973.44,186,23,3,4,513,40,2,359,29
20.88,186,4,2,1,633,40,1,394,19
280.25,208,9,1,2,392,44,1,94,29
526.86,247,4,3,2,138,99,2,51,19
85.91,209,58,1,3,464,98,2,548,29
72.84,165,85,1,4,45,37,2,570,27
133.38,205,29,4,2,329,40,1,538,29
365.89,176,90,4,2,243,56,2,273,29
64.29,184,7,2,2,71,40,2,274,29
57.12,205,6,1,2,412,56,2,336,29
246.83,196,14,1,2,62,86,1,268,19
28.75,59,134,1,1,583,86,2,445,19
555.46,196,15,5,2,21,67,2,60,29
191.7,160,24,2,2,52,99,2,531,29
1989.0,44,178,4,6,631,67,1,472,29
117.84,205,8,2,2,18,56,1,221,29
192.35,182,1,1,4,78,37,2,110,29
192.68,107,89,1,2,147,91,2,13,29
707.0,83,126,3,3,535,91,2,51,29
552.86,126,142,2,4,281,82,1,276,29
2173.29,151,58,4,14,51,18,2,200,4
230.94,175,16,3,2,776,82,2,359,19
273.04,214,21,2,2,50,86,1,614,19
300.36,204,1,1,2,771,39,2,359,5
47.06,171,24,2,2,304,39,1,512,29
151.36,208,2,1,2,339,37,2,212,19
246.72,271,2,1,2,117,10,2,492,29
402.06,201,5,2,4,513,92,2,359,29
113.86,154,74,2,2,871,18,2,16,4
122.17,204,1,1,3,671,86,2,341,29
119.9,267,5,2,2,695,81,2,209,19
56.22,255,5,1,2,110,44,2,598,16
213.39,187,2,2,2,572,94,2,273,29
15.91,256,3,1,2,502,16,2,518,29
100.44,220,1,1,2,478,18,2,287,26
370.53,169,39,3,2,447,37,1,96,29
167.22,226,10,3,3,107,99,2,549,29
330.51,238,10,3,2,685,86,2,136,29
68.41,230,3,1,2,251,40,2,525,29
609.0,217,28,4,6,490,74,2,617,19
321.92,216,27,2,4,244,86,2,294,29
371.93,29,160,3,2,230,86,1,168,16
490.9,204,57,2,2,79,82,1,43,5
165.97,247,4,1,2,136,37,2,519,5
188.27,235,17,2,2,306,94,2,329,19
30.64,200,1,1,2,512,86,2,455,29
23.1,263,3,1,2,226,40,2,613,29
80.96,259,2,2,2,243,40,2,273,19
204.79,255,11,2,2,190,44,1,351,29
136.31,265,4,2,2,39,86,2,491,29
189.8,225,17,4,2,753,44,2,273,29
989.1,245,28,5,3,130,18,1,436,29
282.97,163,26,1,2,549,3,2,72,5
24.9,190,3,1,2,792,40,2,120,29
509.9,241,27,4,2,188,91,1,319,29
70.58,154,41,1,1,745,86,2,561,27
110.12,160,51,1,2,210,92,1,422,29
124.18,239,4,1,2,490,86,2,617,29
274.24,262,6,2,3,357,95,2,586,19
44.13,183,9,1,1,469,44,1,536,29
86.63,187,4,1,2,447,91,2,96,6
104.0,225,1,1,2,776,99,2,359,29
24.98,222,1,1,2,185,28,2,178,29
601.48,123,70,2,3,182,91,2,353,29
1018.64,173,24,2,2,741,86,2,168,26
1110.55,162,46,1,10,182,18,2,353,4
111.0,216,1,1,2,339,37,2,212,19
107.59,220,1,1,1,270,44,2,334,5
185.14,246,27,1,2,321,44,2,58,29
129.0,255,12,1,2,94,44,2,466,19
40.6,188,1,1,2,888,82,2,312,29
51.45,210,1,1,2,527,56,2,136,19
271.01,187,5,1,2,513,99,1,359,29
523.63,216,44,4,1,572,18,2,273,29
434.81,207,9,4,2,52,37,2,531,27
63.87,272,1,1,2,322,86,2,492,19
129.43,213,25,1,2,263,18,2,540,4
479.84,174,85,3,2,335,18,1,176,29
563.92,263,8,3,2,478,37,2,287,19
95.23,123,75,1,1,217,37,1,185,19
45.08,185,14,1,1,427,8,1,548,29
127.8,136,72,1,2,78,91,2,110,16
93.75,265,2,2,1,128,3,2,249,19
427.67,165,35,4,2,741,92,1,168,29
163.06,140,43,1,2,478,44,2,287,29
109.21,236,11,2,2,741,91,1,168,29
106.34,241,25,1,2,319,3,1,524,5
32.42,179,52,2,2,584,92,1,356,19
152.06,231,28,1,2,62,56,2,268,29
9.14,224,1,1,2,502,40,2,518,2
77.91,185,6,1,2,251,92,2,525,29
421.5,172,48,5,4,338,37,1,274,29
210.85,120,76,1,3,62,91,2,268,29
93.63,193,11,1,2,490,3,2,617,29
1495.44,199,8,4,2,815,91,2,79,29
284.88,181,10,2,3,147,95,2,13,4
220.68,229,32,2,2,566,86,2,612,29
2041.05,178,81,3,6,447,92,1,96,5
98.49,234,5,2,2,886,99,2,24,29
80.11,250,1,1,2,753,99,2,273,26
147.0,71,198,1,2,322,86,2,492,19
230.34,292,256,3,2,412,56,1,336,29
889.0,187,82,1,3,334,44,2,433,19
461.3,235,16,2,2,128,94,1,249,19
606.26,164,53,2,4,741,37,2,168,19
131.85,204,15,2,1,872,86,1,535,29
60.17,248,19,1,2,490,91,2,617,29
248.74,20,197,1,2,308,54,1,565,29
281.02,173,16,1,2,508,91,1,69,19
130.71,251,16,1,2,426,91,2,391,29
141.22,211,54,1,2,859,37,2,548,29
43.06,209,4,1,1,886,98,2,24,19
259.53,235,25,1,2,875,86,1,79,19
417.05,220,42,3,2,147,91,1,13,29
44.15,193,78,1,1,450,54,1,217,29
207.22,232,2,2,1,637,44,2,139,5
228.09,122,81,1,2,808,99,1,205,5
510.98,293,283,3,2,188,37,1,319,29
172.21,218,2,2,2,427,92,2,548,5
99.98,192,13,1,2,203,3,2,72,29
275.51,156,107,3,2,761,91,2,393,19
408.19,191,47,3,2,562,82,1,614,5
190.88,164,103,2,2,741,91,1,168,19
58.5,186,74,3,2,863,91,1,327,29
89.36,34,233,1,1,188,44,1,319,29
3165.63,227,4,3,2,322,46,2,492,19
96.41,175,30,3,4,123,40,2,529,29
122.32,178,57,1,2,426,37,1,391,29
65.61,241,8,1,2,860,37,2,77,29
774.26,150,97,2,4,872,95,1,535,19
2749.44,170,30,3,4,536,37,2,110,19
113.92,171,83,2,2,854,91,1,357,16
262.86,221,7,4,1,872,18,2,535,26
1125.17,154,50,2,2,447,37,1,96,29
289.54,354,195,2,2,427,40,1,548,19
25.03,229,2,1,2,251,56,2,525,19
131.17,134,83,1,2,328,18,2,123,27
261.18,178,16,4,1,566,32,1,612,19
236.81,251,14,1,3,874,81,1,548,29
610.4,168,56,4,4,572,74,2,273,19
84.3,174,13,1,2,706,99,1,531,29
1703.58,166,54,2,7,78,95,2,110,19
156.91,55,154,1,2,590,99,1,330,19
39.68,220,1,1,2,530,99,2,202,11
411.51,166,80,4,1,872,91,2,535,5
233.94,197,2,2,2,243,2,2,273,29
208.58,162,30,2,4,530,95,2,202,19
530.79,32,225,1,6,320,56,1,548,19
38.82,231,29,1,2,28,40,2,549,29
38.4,234,4,1,2,107,82,2,549,19
5725.64,176,14,4,1,364,18,1,51,29
193.73,249,22,1,2,52,44,2,531,26
468.8,235,5,5,2,572,81,2,273,29
106.16,251,20,2,2,821,7,2,127,22
175.22,250,1,1,2,337,63,2,2,29
8.72,198,1,1,2,502,40,2,518,16
110.62,189,14,1,2,51,86,1,200,19
221.72,84,123,1,3,243,37,2,273,5
522.92,97,102,4,1,363,54,2,54,29
195.32,165,26,2,4,703,92,2,45,19
101.34,5,219,1,2,385,3,1,573,19
408.26,264,2,2,3,272,82,2,51,19
325.07,254,12,2,2,312,92,2,267,16
62.73,205,1,1,1,843,85,2,585,29
87.47,90,122,1,2,872,37,2,535,29
489.2,221,10,4,4,726,86,2,92,29
77.08,194,10,1,2,513,18,2,359,4
24.77,196,1,1,1,854,44,2,357,5
882.66,174,93,4,2,487,37,1,586,29
493.25,172,15,2,1,859,82,2,548,19
236.81,263,9,4,1,51,37,2,200,27
101.8,213,4,2,2,795,97,2,246,29
59.51,237,2,1,4,466,86,2,367,19
158.94,226,33,1,2,426,44,2,391,19
184.66,219,11,1,1,464,18,2,548,4
82.3,229,6,1,2,459,85,2,448,29
198.2,221,51,2,2,308,86,1,565,29
606.34,184,8,3,2,496,98,2,240,29
379.1,214,42,4,2,243,99,2,273,19
97.29,193,4,1,2,759,18,2,359,4
248.48,186,6,4,2,107,81,2,549,29
493.0,210,11,2,2,610,99,2,231,5
87.54,190,61,1,1,872,44,2,535,16
183.47,211,4,1,2,17,28,2,477,29
210.81,201,1,1,4,309,81,2,604,29
150.02,43,221,2,2,428,98,1,340,19
918.14,249,14,7,1,856,95,2,500,19
78.33,257,9,1,2,541,82,2,544,29
54.67,187,22,1,2,310,86,2,106,29
198.53,178,73,1,2,289,99,2,501,29
200.43,208,41,3,1,774,18,2,614,26
246.76,182,7,2,2,726,56,2,92,29
99.58,185,9,1,2,236,54,1,175,29
184.73,258,3,2,2,572,56,2,273,19
83.19,230,5,1,2,653,18,2,566,4
199.05,222,2,1,2,147,82,2,13,5
574.08,178,66,3,2,572,37,2,273,22
181.26,183,9,3,1,741,86,1,168,19
407.34,222,25,3,2,858,82,2,136,29
192.52,184,16,3,2,513,92,2,359,29
2598.84,153,46,14,2,328,18,2,123,4
387.13,236,16,4,2,322,56,2,492,29
380.4,103,145,2,1,714,91,1,597,29
120.33,213,38,1,2,32,56,1,148,29
373.63,230,19,3,2,233,99,1,114,5
83.51,241,2,1,1,235,39,2,186,29
107.78,205,4,1,2,815,99,2,79,5
129.39,206,17,1,2,283,91,2,543,29
275.26,241,17,1,2,462,44,2,543,29
129.18,163,88,1,2,335,56,1,176,29
154.0,222,5,2,2,553,99,2,11,29
635.12,189,68,4,2,178,86,2,176,19
460.64,65,202,5,2,741,37,1,168,29
433.03,108,108,1,2,697,91,1,27,5
1024.8,183,88,8,4,52,76,2,531,29
66.67,263,1,1,1,116,99,2,614,29
73.62,213,49,2,2,45,44,2,570,29
58.18,103,96,1,2,872,86,2,535,29
126.66,257,1,1,2,534,86,2,132,19
21.78,237,4,1,2,427,40,2,548,29
378.82,333,218,4,2,308,37,1,565,29
255.3,211,34,2,2,776,40,2,359,29
476.98,160,57,2,2,350,102,2,427,19
16.77,191,1,1,2,584,92,2,356,29
379.26,260,5,3,4,753,56,2,273,19
612.48,192,76,5,2,438,18,2,334,29
210.29,251,8,1,2,761,91,1,393,19
84.56,248,1,1,2,775,56,2,548,29
27.69,191,2,1,2,792,82,2,120,29
261.48,260,9,3,2,514,15,2,99,29
292.86,175,30,3,1,147,3,2,13,29
113.82,225,1,1,2,859,3,2,548,19
18.09,192,5,1,2,502,74,2,518,19
254.35,100,96,1,2,324,37,2,548,29
26.93,209,7,1,2,792,40,2,120,29
384.78,202,8,6,2,453,81,2,170,29
119.0,236,1,1,2,455,87,2,454,29
157.84,238,6,4,2,24,40,2,195,29
80.66,195,2,2,1,448,88,2,1,29
292.38,230,31,2,2,818,37,1,597,29
811.78,165,37,3,3,78,95,2,110,29
625.49,199,24,5,1,572,37,1,273,5
163.32,234,34,2,1,447,44,1,96,29
285.52,126,73,1,2,854,91,1,357,19
779.39,128,97,2,10,375,18,2,92,27
320.69,190,1,1,2,311,99,2,51,29
294.09,174,85,3,1,335,18,1,176,29
31.31,246,1,1,1,412,56,2,336,29
538.3,60,155,1,2,182,18,2,353,29
1033.0,254,4,3,2,864,82,2,51,19
761.04,120,83,3,2,884,86,2,2,19
147.94,224,2,2,2,475,95,2,504,4
93.95,186,4,1,1,761,86,2,393,29
44.06,223,42,2,2,709,95,2,87,26
185.23,247,21,2,2,741,86,1,168,19
422.79,192,3,3,4,155,56,2,213,29
1346.58,205,5,3,2,544,97,2,132,29
497.1,154,65,4,2,741,16,1,168,29
71.68,170,22,1,2,608,37,2,434,29
267.6,157,78,2,3,546,86,1,345,29
331.4,239,7,2,2,402,18,2,268,19
639.12,194,4,3,2,93,95,2,234,4
13.11,185,1,1,2,502,95,2,518,19
834.59,137,87,7,2,410,37,1,386,29
267.24,147,61,4,2,430,91,1,575,29
44.21,213,5,1,2,530,99,2,202,5
10.04,230,3,1,2,502,40,2,518,15
100.75,268,5,1,1,399,67,2,359,29
41.96,193,2,2,2,391,92,2,465,29
205.38,198,16,2,1,262,44,1,543,5
120.26,232,8,2,2,251,82,2,525,29
31.88,234,6,1,1,758,86,1,517,29
63.25,248,15,1,2,107,56,2,549,29
255.07,248,25,3,2,190,91,2,351,29
63.79,130,88,1,3,445,37,2,173,27
121.0,250,20,1,2,854,44,1,357,29
58.92,242,1,1,2,753,95,2,273,4
164.94,247,20,2,2,572,86,2,273,19
195.88,150,46,1,2,238,35,1,428,29
262.72,240,9,8,2,887,4,2,520,29
19.13,229,2,1,2,304,89,2,512,29
124.48,170,72,2,2,741,91,1,168,29
27.98,193,2,1,2,142,88,2,24,29
498.28,248,5,4,2,653,86,2,566,29
97.35,212,17,1,2,93,44,2,234,16
479.44,191,48,3,2,889,86,2,51,19
944.9,138,72,4,2,93,37,1,234,29
712.83,210,55,5,3,163,56,2,237,5
1309.84,182,34,4,3,390,99,1,223,29
35.78,263,2,1,2,695,97,2,209,19
705.43,183,49,4,3,430,91,1,575,29
28.87,224,38,1,1,463,37,2,228,5
104.95,205,1,1,1,827,92,2,3,6
294.36,201,15,4,2,427,56,2,548,19
97.71,250,2,1,2,889,54,2,51,27
45.99,194,0,1,2,641,99,2,454,29
377.17,118,111,1,3,146,44,2,596,29
75.0,232,1,1,2,513,74,2,359,29
471.93,23,175,3,2,323,99,2,454,29
53.65,189,7,1,4,24,40,1,195,19
292.92,232,34,2,4,427,56,2,548,19
80.4,201,17,1,2,580,95,1,505,29
677.97,3,257,3,2,572,56,1,273,19
80.01,130,69,1,1,513,12,1,359,19
238.72,225,6,2,2,25,3,2,576,19
35.18,194,25,1,2,173,74,2,191,19
377.08,204,18,4,2,152,3,2,614,29
223.36,194,23,2,4,12,56,2,267,29
449.98,224,23,5,2,10,37,2,531,29
86.73,211,2,1,2,243,44,2,273,29
149.44,236,2,1,2,513,86,2,359,19
241.63,16,173,1,3,438,91,1,334,19
276.11,232,18,1,2,220,39,1,133,19
322.04,177,30,3,1,761,91,1,393,29
447.87,235,25,5,1,741,91,2,168,16
325.99,224,3,2,2,243,92,2,273,29
502.79,106,81,2,2,369,82,2,173,29
385.12,151,117,2,4,310,86,2,106,29
30.25,168,93,1,2,788,82,2,146,29
1023.58,61,155,2,3,397,18,2,51,29
1412.25,156,64,7,2,854,91,1,357,29
123.85,200,49,1,2,557,86,2,457,5
668.37,228,38,3,2,815,86,1,79,29
589.92,178,9,3,2,875,44,1,79,5
249.6,154,30,2,2,147,32,2,13,19
75.2,28,185,1,3,595,37,2,580,29
73.29,204,30,1,2,293,56,1,102,19
2351.68,233,14,10,4,572,81,2,273,19
443.26,161,39,2,2,320,86,2,548,19
327.44,176,18,2,2,513,54,2,359,29
257.04,256,4,1,2,572,44,2,273,26
143.81,193,2,1,2,324,3,2,548,29
1474.15,315,283,7,3,487,87,1,586,29
381.66,102,146,2,2,714,91,2,597,29
61.46,235,8,2,2,448,92,2,1,19
87.51,206,1,1,2,312,92,2,267,29
209.0,199,4,1,2,336,99,2,492,29
254.78,12,193,2,1,262,86,1,543,29
111.38,190,5,1,2,262,44,2,543,29
750.24,26,188,3,4,854,91,2,357,29
61.76,240,14,1,2,741,86,2,168,29
54.09,209,57,1,1,151,86,2,296,29
443.74,182,14,3,2,859,95,2,548,4
561.18,209,4,3,2,588,86,2,376,19
282.94,205,15,3,2,884,72,2,2,19
212.91,228,28,3,1,697,86,2,27,19
100.94,247,18,1,2,93,86,1,234,29
97.23,190,14,2,2,681,56,2,118,19
528.4,110,104,1,8,188,37,1,319,19
168.1,226,3,2,2,107,40,2,549,29
194.8,185,1,1,2,634,25,2,72,19
108.46,199,6,2,2,321,95,1,58,29
82.47,236,2,1,2,292,82,2,268,29
71.52,193,4,4,2,427,89,2,548,29
155.52,179,34,2,5,587,40,2,538,19
199.3,219,50,1,2,762,41,2,97,29
243.91,225,13,2,2,243,41,2,273,29
156.39,267,1,1,1,235,39,2,186,29
52.59,207,1,1,2,35,70,2,515,29
93.41,234,12,4,2,28,56,2,549,29
7.9,233,1,1,2,502,40,2,518,19
11.1,267,4,1,2,502,40,2,518,15
416.1,193,6,3,2,513,56,2,359,29
29.51,212,1,1,2,709,95,2,87,26
159.52,210,2,1,2,638,56,2,289,5
764.97,59,188,5,2,188,91,1,319,29
64.74,63,184,1,1,697,37,2,27,29
180.73,231,20,2,1,427,91,1,548,5
139.04,250,12,2,2,753,102,2,273,29
1782.42,242,24,10,2,386,56,1,359,29
106.56,253,14,1,2,10,92,2,531,17
280.01,152,53,5,2,251,74,1,525,19
249.53,195,10,3,2,286,91,1,176,16
768.99,225,35,3,2,582,91,2,548,19
218.4,95,110,1,4,585,98,2,18,22
182.02,192,1,1,4,753,99,2,273,29
329.5,159,37,2,2,478,18,2,287,4
198.14,185,30,4,2,239,95,2,427,29
24.96,184,2,1,2,437,92,2,570,29
988.96,246,6,4,2,572,86,2,273,29
98.4,263,1,1,2,590,18,2,330,29
46.67,212,1,1,2,762,98,2,97,29
1157.3,207,35,8,2,739,81,1,434,29
187.59,254,4,3,2,412,13,2,336,19
179.87,108,81,1,2,536,91,2,110,29
359.22,233,36,3,3,427,18,2,548,4
279.49,207,3,3,2,716,70,2,611,19
331.13,232,25,2,1,311,56,2,51,29
612.25,175,92,5,2,130,44,1,436,29
301.62,131,129,2,2,529,37,2,577,27
401.65,108,87,4,4,143,12,2,421,19
69.11,131,136,1,1,93,44,1,234,29
87.49,176,17,1,2,504,32,2,454,29
335.09,172,35,3,2,761,91,1,393,29
360.84,178,27,4,1,464,28,2,548,29
22.02,195,1,1,2,164,40,2,274,29
657.92,184,41,4,2,889,86,2,51,29
143.66,70,146,2,2,477,91,1,232,16
540.6,185,78,4,2,243,102,2,273,29
100.3,206,2,1,2,583,99,2,445,19
367.56,145,58,1,7,618,3,2,277,29
111.62,187,33,1,2,426,91,1,391,19
31.18,188,2,1,2,163,40,2,237,2
224.91,255,6,1,2,169,91,2,51,29
192.19,120,144,4,1,286,18,2,176,4
92.51,202,1,1,1,762,98,2,97,19
585.35,178,88,3,2,759,42,2,359,29
1067.61,162,94,7,2,124,18,1,182,29
740.13,215,21,7,2,541,81,2,544,29
623.99,183,15,2,2,78,44,2,110,19
643.34,184,31,2,4,136,18,2,519,29
6159.66,152,56,5,12,876,18,2,535,4
129.18,163,89,1,2,335,56,1,176,29
140.84,234,3,2,2,253,99,2,389,29
374.57,261,6,5,4,50,95,2,614,29
55.6,155,41,1,2,338,40,1,274,19
155.0,232,12,1,2,214,92,2,267,29
37.98,192,4,1,2,148,86,2,72,29
118.91,204,12,1,2,753,16,2,273,29
47.06,172,23,2,2,304,39,1,512,29
425.9,180,16,2,3,815,86,2,79,29
45.57,222,2,2,2,709,65,2,87,26
275.5,36,236,2,2,745,86,1,561,29
125.15,243,2,1,2,706,44,2,531,29
66.79,241,8,1,2,660,91,2,29,26
97.62,249,24,2,2,886,28,2,24,29
1184.28,147,61,1,6,127,37,2,379,26
208.02,195,37,1,2,56,44,1,110,29
47.19,198,4,1,2,776,40,2,359,29
477.45,214,47,5,2,268,91,1,436,19
405.6,185,82,2,4,136,18,2,519,27
193.0,210,3,2,2,464,49,2,548,29
297.95,203,28,1,2,766,99,2,580,29
190.02,184,28,2,2,147,37,2,13,29
840.01,190,10,3,2,147,99,2,13,19
30.37,204,3,1,2,863,95,2,327,19
150.62,202,1,1,2,875,56,2,79,29
323.52,248,3,2,2,749,56,2,397,29
80.75,219,11,1,2,850,44,2,557,29
6.22,204,2,1,1,165,44,2,274,29
29.26,233,38,1,1,852,91,1,378,16
161.16,162,62,1,2,21,3,2,60,19
19.48,235,6,1,2,502,99,2,518,29
313.54,182,48,3,2,741,86,1,168,16
279.03,85,141,2,2,438,86,1,334,29
81.4,239,5,1,2,321,86,2,58,29
378.95,220,28,5,2,308,74,2,565,19
446.8,73,157,2,2,262,91,1,543,19
613.64,179,4,3,2,465,16,2,51,5
68.58,245,6,1,2,566,92,2,612,19
15.7,171,25,1,2,584,95,2,356,9
177.28,250,2,1,2,706,86,2,531,19
80.35,183,1,1,2,214,92,2,267,29
81.28,152,112,1,2,10,37,2,531,19
399.0,14,207,2,2,93,54,1,234,29
222.69,219,12,2,2,753,99,1,273,29
44.59,71,144,2,2,173,74,2,191,19
510.05,253,2,2,4,447,37,2,96,27
62.3,239,1,1,2,286,44,2,176,5
116.44,243,5,2,2,216,92,2,174,26
7.26,185,1,1,2,709,56,2,87,19
409.0,264,1,1,2,289,95,2,501,29
88.99,231,3,1,2,619,87,2,256,29
200.81,139,123,2,2,403,91,1,260,19
73.12,190,1,1,1,459,85,2,448,29
71.24,257,7,1,2,427,3,2,548,29
193.58,139,79,2,2,839,44,1,364,16
787.06,146,71,3,2,761,86,1,393,19
2007.2,239,34,4,4,324,86,2,548,5
176.73,82,148,1,2,445,91,1,173,19
136.03,212,31,1,2,243,72,1,273,29
2517.74,179,10,2,4,272,32,2,51,5
305.99,215,39,3,2,427,47,1,548,29
1623.66,134,132,3,2,125,42,2,24,29
123.88,245,3,2,1,827,90,2,3,19
231.2,213,8,2,2,733,40,1,47,29
68.26,257,2,1,2,304,92,2,512,29
63.41,183,1,1,1,536,44,2,110,5
58.76,198,1,1,1,286,44,2,176,5
1186.28,208,12,2,8,337,102,1,2,29
76.41,235,1,1,2,562,91,2,614,19
423.48,256,5,3,2,322,18,2,492,29
174.6,134,138,1,4,889,82,2,51,29
114.0,176,39,1,2,243,99,2,273,29
185.13,150,97,1,2,753,37,2,273,19
43.11,167,37,1,1,827,86,2,3,19
418.89,91,144,2,2,368,86,2,491,19
450.72,233,322,3,2,336,99,1,492,29
450.49,179,76,3,2,264,72,1,492,29
276.73,144,46,3,2,578,98,2,10,29
331.72,103,165,2,1,697,82,2,27,29
20.25,183,2,1,2,778,74,2,304,19
339.76,189,1,1,2,717,89,2,503,19
103.46,68,202,1,2,52,37,2,531,29
627.12,145,84,4,6,490,44,1,617,19
58.89,205,5,1,3,101,56,2,542,29
706.63,214,25,2,2,78,86,1,110,5
